Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2020,3,0,2,160566490.6999675,409047771.0495805
2020,3,20,1,55651689.53998664,195954390.3399561
2020,3,20,2,93296436.74999999,314848993.6096928
2020,3,30,1,79874410.90999776,288692765.95986223
2020,3,30,2,131904230.96002011,479706537.36928755
2020,3,40,1,117477731.30000253,420980721.70957965
2020,3,40,2,159783538.76998743,528983095.7493093
2020,3,50,1,159223351.7099743,664652786.5589619
2020,3,50,2,195398166.8299707,708246009.0186878
2020,3,60,0,0.0,13.9
2020,3,60,1,170274700.56997415,1025558990.1777495
2020,3,60,2,198407946.1699724,824418297.5980394
2020,3,70,1,147805595.78993988,885070118.6886938
2020,3,70,2,182261320.45989498,841156403.7486116
2020,3,80,0,8.219999999999999,159.44
2020,3,80,1,99857345.23997602,674009374.6594313
2020,3,80,2,186378389.83990237,1035133041.188466
2020,3,99,0,695.2900000000001,7105629.169999998
2020,3,99,1,224739.96000000095,2273287.2700000596
2020,3,99,2,260131.70999999996,1702005.4900000633
2020,4,0,0,0.0,464.0
2020,4,0,1,68973840.24995816,248467665.71000782
2020,4,0,2,73520551.65995216,225949038.84997848
2020,4,20,1,24156995.620004386,121612239.38004419
2020,4,20,2,46967637.17997853,214600323.55993772
2020,4,30,1,35708721.49999968,193247643.53998312
2020,4,30,2,65223886.03997515,344534364.2296624
2020,4,40,1,48546783.679988556,279343446.57991016
2020,4,40,2,62673814.95997809,338219662.7497368
2020,4,50,1,66385204.85997414,455528587.59940565
2020,4,50,2,73999864.8099714,445426691.6994227
2020,4,60,1,74722701.15997204,825616711.5678761
2020,4,60,2,77703201.62996759,533258070.0192083
2020,4,70,1,70184112.27994876,653297027.5189306
2020,4,70,2,80879302.1999304,574257151.3092489
2020,4,80,1,59484494.17997116,544822551.5395461
2020,4,80,2,123498591.76991488,850046538.2583411
2020,4,99,0,143.33999999999997,9655599.559999993
2020,4,99,1,141998.27000000086,2419528.8700000597
2020,4,99,2,132617.1200000006,2023862.7400000908
2020,5,0,0,7.5,836.77
2020,5,0,1,150338936.2799911,400323699.3097045
2020,5,0,2,164667947.84999853,385870009.84964204
2020,5,20,0,0.0,73.76
2020,5,20,1,52459977.86998503,177788202.22997725
2020,5,20,2,88801163.75999023,297761110.539729
2020,5,30,1,74115157.24998762,266656294.279913
2020,5,30,2,121701066.15001044,460728846.0393853
2020,5,40,1,110500857.06999981,392879228.7096241
2020,5,40,2,149082338.42000115,502454690.8193852
2020,5,50,1,155794294.23999947,623720421.0489318
2020,5,50,2,186774217.53999484,662632215.7687507
2020,5,60,0,0.0,33162.0
2020,5,60,1,167074756.5299927,1589100618.1852436
2020,5,60,2,190187418.4299979,769409893.5280863
2020,5,70,1,145271065.65994206,835666225.5584797
2020,5,70,2,177102804.32990965,796229396.9285052
2020,5,80,1,103410995.949969,661641617.859249
2020,5,80,2,196740266.18989405,1045113420.9280213
2020,5,99,0,120.0,8516301.389999999
2020,5,99,1,218638.68000000116,3071132.140000019
2020,5,99,2,197478.14000000077,1460378.490000061
2020,6,0,0,0.0,188.05
2020,6,0,1,205173835.7299694,541018656.2596207
2020,6,0,2,220801244.5099681,517476027.8895453
2020,6,20,1,82192621.59000334,243448718.73991165
2020,6,20,2,135567852.69002807,398336529.93948233
2020,6,30,1,115674947.73001832,348429114.4097663
2020,6,30,2,187588231.4699775,592429906.9092946
2020,6,40,1,176110815.71997228,516266242.2795115
2020,6,40,2,244525289.40996003,680691915.9290826
2020,6,50,0,0.0,27.0
2020,6,50,1,249083814.23993725,814612141.9485537
2020,6,50,2,310489091.01989514,909345877.0682122
2020,6,60,0,0.0,9387.0
2020,6,60,1,259804583.85994178,1878855325.665357
2020,6,60,2,312635063.1098888,1041680064.127505
2020,6,70,1,219769541.29987475,1057174012.8483292
2020,6,70,2,276364339.5498397,1051834313.1382166
2020,6,80,0,401.85999999999996,1445.31
2020,6,80,1,136165334.5499847,781554617.5491384
2020,6,80,2,245908852.31984684,1214742199.5472422
2020,6,99,0,358.5,183881699.83999994
2020,6,99,1,283085.4800000015,15743160.679999765
2020,6,99,2,294663.05000000005,14190098.68999961
2020,7,0,0,11545.480000000003,58042.970000000045
2020,7,0,1,196092397.68996644,521032054.76958364
2020,7,0,2,208352334.66995102,499152734.27945065
2020,7,20,1,87092857.17001718,259865975.0298916
2020,7,20,2,139332235.5100267,413976073.55943495
2020,7,30,1,119081653.69002774,360621121.63974565
2020,7,30,2,190757369.7499597,599128395.2291769
2020,7,40,0,0.0,44.0
2020,7,40,1,175230535.50996506,516621083.0494826
2020,7,40,2,242147753.88995984,672385108.3089862
2020,7,50,1,246671898.62992224,812331095.7087163
2020,7,50,2,306896900.59988064,905589028.1882912
2020,7,60,0,0.0,81.0
2020,7,60,1,249433349.51991314,1381499459.576004
2020,7,60,2,295663557.3198869,1013000187.7877305
2020,7,70,1,212209034.47985002,1042729383.2185818
2020,7,70,2,265825074.2098052,1032180182.9683583
2020,7,80,0,18238.209999999995,51207.380000000005
2020,7,80,1,138371565.01998442,786818522.2093451
2020,7,80,2,253644603.7598371,1231657708.5775466
2020,7,99,0,1143.3999999999999,20759206.01
2020,7,99,1,288898.86000000115,2731325.930000061
2020,7,99,2,316207.1200000001,2278807.5900000622
2020,8,0,0,10515.620000000003,52087.070000000065
2020,8,0,1,156312951.97996342,403986287.18972236
2020,8,0,2,166681709.77996066,394812371.1796224
2020,8,20,0,0.0,76.59
2020,8,20,1,63672458.25998323,219093594.88991797
2020,8,20,2,103326886.62001032,342935852.0096167
2020,8,30,0,0.0,25.0
2020,8,30,1,81211002.08000347,287278635.2898714
2020,8,30,2,131072720.17002936,465968849.62930185
2020,8,40,0,0.0,100.59
2020,8,40,1,117388511.09001143,403620639.8496122
2020,8,40,2,161150608.28996384,508044483.70932573
2020,8,50,1,162063892.56994435,633592163.4591038
2020,8,50,2,198215527.1499615,686167895.5187887
2020,8,60,0,0.0,54.0
