SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,2.0,1.0,20.0,44.0,6622736.080000065,19143671.769997682,12520935.689999074
2019.0,2.0,1.0,20.0,52.0,3376886.579999921,10519663.739998788,7142777.159999883
2019.0,2.0,1.0,20.0,53.0,2764566.7699999376,8265266.08999935,5500699.320000019
2019.0,2.0,1.0,20.0,75.0,5725479.009999986,17322066.499997627,11596587.489999369
2019.0,2.0,1.0,20.0,76.0,6748147.280000028,21445908.529997967,14697761.249998752
2019.0,2.0,1.0,20.0,84.0,9662814.840000035,27656313.85999829,17993499.01999847
2019.0,2.0,1.0,20.0,93.0,6379242.170000035,21406747.759998005,15027505.589999048
2019.0,2.0,1.0,30.0,5.0,2446464.5599999563,9218065.889999632,6771601.329999945
2019.0,2.0,1.0,30.0,11.0,26112160.949998036,67936434.49000184,41824273.53999565
2019.0,2.0,1.0,30.0,24.0,3098892.309999964,9689127.999998815,6590235.689999897
2019.0,2.0,1.0,30.0,27.0,3725952.1099999333,11268344.159998458,7542392.049999781
2019.0,2.0,1.0,30.0,28.0,4258607.49999993,13671002.65999818,9412395.15999968
2019.0,2.0,1.0,30.0,32.0,9488883.540000074,30203139.819999106,20714256.279998347
2019.0,2.0,1.0,30.0,44.0,9385780.630000051,27568840.30999859,18183059.67999845
2019.0,2.0,1.0,30.0,52.0,4768895.53999997,15279000.029998071,10510104.48999953
2019.0,2.0,1.0,30.0,53.0,3670321.259999952,12182655.859998511,8512334.599999832
2019.0,2.0,1.0,30.0,75.0,7814863.880000078,24829678.819998223,17014814.939998735
2019.0,2.0,1.0,30.0,76.0,8944374.209999926,29518530.909998756,20574156.69999825
2019.0,2.0,1.0,30.0,84.0,12418662.059999935,36299936.29999931,23881274.23999724
2019.0,2.0,1.0,30.0,93.0,8882322.959999999,29707718.809998415,20825395.84999828
2019.0,2.0,1.0,40.0,5.0,4229704.63999993,14966536.399998922,10736831.759999849
2019.0,2.0,1.0,40.0,11.0,35181959.629996784,92540324.86001383,57358365.22999547
2019.0,2.0,1.0,40.0,24.0,5322759.889999926,16299530.51999752,10976770.629999196
2019.0,2.0,1.0,40.0,27.0,5857381.28000006,17505727.34999748,11648346.06999902
2019.0,2.0,1.0,40.0,28.0,6616899.970000057,20720493.989997905,14103594.019998906
2019.0,2.0,1.0,40.0,32.0,13640751.179999951,44097303.51000024,30456552.329998173
2019.0,2.0,1.0,40.0,44.0,13881898.14999998,40242227.64999941,26360329.49999778
2019.0,2.0,1.0,40.0,52.0,7498957.050000092,22047045.22999828,14548088.179998914
2019.0,2.0,1.0,40.0,53.0,6415638.030000032,19469991.279998127,13054353.249999043
2019.0,2.0,1.0,40.0,75.0,12674269.63,38562990.479999736,25888720.84999768
2019.0,2.0,1.0,40.0,76.0,13793334.430000126,44192404.10000005,30399069.669997323
2019.0,2.0,1.0,40.0,84.0,19020824.919999536,53656066.509999946,34635241.58999811
2019.0,2.0,1.0,40.0,93.0,13399105.009999832,43580662.23999955,30181557.229997765
2019.0,2.0,1.0,50.0,5.0,6206545.339999938,26010426.2999997,19803880.95999954
2019.0,2.0,1.0,50.0,11.0,42842999.02999564,127190131.4300292,84347132.4000029
2019.0,2.0,1.0,50.0,24.0,7631033.3300000625,25747044.749998096,18116011.419997796
2019.0,2.0,1.0,50.0,27.0,8668748.150000172,28057153.63999833,19388405.48999775
2019.0,2.0,1.0,50.0,28.0,9318207.320000147,33043091.529999454,23724884.2099981
2019.0,2.0,1.0,50.0,32.0,17918877.419999868,68603756.77000086,50684879.34999703
2019.0,2.0,1.0,50.0,44.0,20328404.66999944,65267536.03000125,44939131.35999805
2019.0,2.0,1.0,50.0,52.0,10110116.410000121,33717131.60999924,23607015.199998032
2019.0,2.0,1.0,50.0,53.0,8518866.170000112,29879779.62999897,21360913.45999816
